complaint_text,category,priority,location,date
water stagnation due to blocked drainage.,Drainage,Medium,Jayanagar,2025-12-07
"Drainage block agide, vasane barthide Indiranagar.",Drainage,Low,Indiranagar,2026-02-26
Water is not safe for drinking today.,Contamination,Medium,Whitefield,2026-01-23
"swalpa leak agtide, just drops Jayanagar hatra.",Leakage,Low,Jayanagar,2026-01-18
Drainage is blocked and overflowing in Yelahanka.,Drainage,High,Yelahanka,2025-12-23
Whitefield ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Whitefield,2026-02-06
Sewage water entering the road.,Drainage,Medium,Yelahanka,2026-01-26
sewage mix agide neeru jote.,Contamination,Medium,Indiranagar,2026-02-18
Water smells bad and is yellowish.,Contamination,High,Yelahanka,2025-12-13
"Jayanagar ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Jayanagar,2026-02-08
Drinking water is contaminated in HSR Layout.,Contamination,Medium,HSR Layout,2026-02-21
Sewage mixed with drinking water.,Contamination,High,Rajajinagar,2026-02-25
We have been waiting for water since today.,Supply,Medium,KR Puram,2026-02-27
Water is muddy and unhygienic.,Contamination,Medium,Jayanagar,2026-01-14
no suply of watr since 2 days.,Supply,High,Jayanagar,2025-12-08
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Jayanagar,2025-12-21
Drainage is blocked and overflowing in Jayanagar.,Drainage,High,Jayanagar,2026-02-03
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Yelahanka,2026-02-27
getting dirty water for drinking.,Contamination,Medium,HSR Layout,2025-12-30
KR Puram ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,KR Puram,2026-01-29
"No leakage, just a few drops coming out in Jayanagar.",Leakage,Low,Jayanagar,2026-01-25
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Jayanagar,2026-02-07
Foul odor coming from the supplied water.,Contamination,Medium,Whitefield,2025-12-11
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Marathahalli,2026-01-26
drain is flul of grabage.,Drainage,Medium,Electronic City,2026-01-14
drain is flul of grabage.,Drainage,Medium,Marathahalli,2026-01-12
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,Whitefield,2025-12-05
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Rajajinagar,2025-12-11
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Jayanagar,2026-02-02
neeru full black agide Hebbal nalli.,Contamination,High,Hebbal,2026-01-03
The water is brown and has particles in it.,Contamination,Medium,HSR Layout,2026-02-11
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Whitefield,2026-01-21
"Gutter is blocked, very bad smell.",Drainage,Low,Jayanagar,2026-02-12
Sewage mixed with drinking water.,Contamination,High,Electronic City,2026-03-05
Huge water leak at HSR Layout.,Leakage,Medium,HSR Layout,2026-02-14
neeru sari yagi supply agthilla.,Supply,High,Rajajinagar,2026-01-25
neeru barthilla nam manege.,Supply,High,Marathahalli,2026-02-17
Kaveri neeru bandilla.,Supply,High,Yelahanka,2026-02-19
water colour is black.,Contamination,High,Yelahanka,2025-12-30
sewage neeru rastege bartide.,Drainage,High,Jayanagar,2025-12-28
water pipe odedide Hebbal nalli.,Leakage,High,Hebbal,2026-02-11
"kudiyoke agalla, neeru halagide.",Contamination,High,Electronic City,2026-03-01
Whitefield ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,Whitefield,2026-02-17
The public drain is choked and overflowing heavily.,Drainage,High,Electronic City,2026-01-08
Drainage is blocked and overflowing in Indiranagar.,Drainage,High,Indiranagar,2026-02-25
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Yelahanka,2025-12-06
pype brst at Hebbal.,Leakage,Medium,Hebbal,2026-01-30
water colour is black.,Contamination,High,Marathahalli,2026-02-06
watr lekng frm pip KR Puram.,Leakage,Medium,KR Puram,2025-12-26
sewage neeru rastege bartide.,Drainage,High,Indiranagar,2025-12-23
Water dripping from the street valve near HSR Layout.,Leakage,Medium,HSR Layout,2025-12-30
We are not getting water in Indiranagar.,Supply,Medium,Indiranagar,2025-12-26
drain is flul of grabage.,Drainage,Medium,Rajajinagar,2026-01-16
"Yelahanka ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Yelahanka,2026-01-09
Broken pipe causing flooding near Hebbal.,Leakage,Medium,Hebbal,2025-12-16
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Hebbal,2026-01-01
Broken pipe causing flooding near Rajajinagar.,Leakage,Medium,Rajajinagar,2026-01-23
Water dripping from the street valve near Yelahanka.,Leakage,Medium,Yelahanka,2026-02-07
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,KR Puram,2026-03-05
Foul odor coming from the supplied water.,Contamination,Medium,Marathahalli,2025-12-24
Water is muddy and unhygienic.,Contamination,Medium,Rajajinagar,2026-02-21
water stagnation due to blocked drainage.,Drainage,Medium,Rajajinagar,2026-02-14
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Whitefield,2026-02-19
"swalpa leak agtide, just drops Electronic City hatra.",Leakage,Low,Electronic City,2026-02-12
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Rajajinagar.,Leakage,Medium,Rajajinagar,2025-12-06
HSR Layout ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,HSR Layout,2026-02-06
manhole open ide mattu overflow agthide.,Drainage,Medium,Electronic City,2026-03-04
Jayanagar ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Jayanagar,2025-12-17
neeru full black agide Marathahalli nalli.,Contamination,High,Marathahalli,2026-01-16
tumba neeru waste agthide Hebbal nalli due to leak.,Leakage,Medium,Hebbal,2026-01-21
Water dripping from the street valve near Electronic City.,Leakage,Medium,Electronic City,2026-01-11
Water smells bad and is yellowish.,Contamination,High,Electronic City,2026-02-02
No supply at all in Yelahanka.,Supply,Medium,Yelahanka,2026-03-05
sewage neeru rastege bartide.,Drainage,High,Jayanagar,2025-12-22
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,Yelahanka,2026-01-01
pype brst at Indiranagar.,Leakage,Medium,Indiranagar,2026-02-07
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Jayanagar,2025-12-05
Broken pipe causing flooding near Jayanagar.,Leakage,Low,Jayanagar,2026-01-07
1 week ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Jayanagar,2025-12-27
neeru leak agthide Electronic City hatra.,Leakage,Medium,Electronic City,2026-01-06
We are not getting water in Electronic City.,Supply,High,Electronic City,2025-12-28
Water supply illa 2 days inda.,Supply,High,HSR Layout,2026-02-09
Sewage water entering the road.,Drainage,Medium,HSR Layout,2026-02-13
"Pipe burst in HSR Layout, water is everywhere.",Leakage,High,HSR Layout,2025-12-11
Jayanagar ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Jayanagar,2026-02-03
neeralli kachara barthide.,Contamination,Medium,Jayanagar,2026-02-08
"swalpa leak agtide, just drops Indiranagar hatra.",Leakage,Low,Indiranagar,2025-12-24
Kaveri neeru bandilla.,Supply,High,KR Puram,2025-12-19
Water is not safe for drinking today.,Contamination,Medium,Rajajinagar,2025-12-16
"Jayanagar ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Jayanagar,2026-01-15
"drnking watr is nt gud, it is plluted.",Contamination,Medium,Yelahanka,2025-12-08
yaavaga neeru bartade? yesterday inda kawtidivi.,Supply,Medium,KR Puram,2025-12-07
"No leakage, just a few drops coming out in Yelahanka.",Leakage,Low,Yelahanka,2026-02-14
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Whitefield,2026-01-17
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Jayanagar,2026-03-01
manhole open ide mattu overflow agthide.,Drainage,Medium,Whitefield,2026-02-21
"kudiyoke agalla, neeru halagide.",Contamination,High,HSR Layout,2026-02-02
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Indiranagar.,Leakage,Medium,Indiranagar,2026-01-16
The public drain is choked and overflowing heavily.,Drainage,High,Rajajinagar,2025-12-24
The water is brown and has particles in it.,Contamination,Medium,Whitefield,2026-02-14
Pipe is cracked and leaking water at Indiranagar.,Leakage,Medium,Indiranagar,2025-12-10
The public drain is choked and overflowing heavily.,Drainage,High,Jayanagar,2026-01-05
"kudiyoke agalla, neeru halagide.",Contamination,High,Jayanagar,2026-01-20
There is a severe water leak at the intersection in Hebbal.,Leakage,Medium,Hebbal,2025-12-16
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,KR Puram,2026-02-19
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Jayanagar,2026-01-09
sewage mix agide neeru jote.,Contamination,Medium,Electronic City,2025-12-24
manhole open ide mattu overflow agthide.,Drainage,Medium,Jayanagar,2026-01-08
Continuous water leakage in our area Marathahalli.,Leakage,Medium,Marathahalli,2026-02-18
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Rajajinagar,2026-02-20
"kudiyoke agalla, neeru halagide.",Contamination,High,Rajajinagar,2026-02-20
Completely dry taps in HSR Layout since 3 days.,Supply,High,HSR Layout,2026-01-15
sewage neeru rastege bartide.,Drainage,High,HSR Layout,2025-12-26
neeralli kachara barthide.,Contamination,Medium,Whitefield,2026-02-18
drinage blok in frnt of house.,Drainage,Medium,Whitefield,2026-02-18
watr suply is vry bad in Electronic City.,Supply,Medium,Electronic City,2025-12-31
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,HSR Layout,2026-02-16
Foul odor coming from the supplied water.,Contamination,Medium,Rajajinagar,2026-02-20
No supply at all in KR Puram.,Supply,Medium,KR Puram,2026-02-20
getting dirty water for drinking.,Contamination,Medium,Electronic City,2026-02-17
Water dripping from the street valve near KR Puram.,Leakage,Medium,KR Puram,2026-02-13
Manhole is open and overflowing.,Drainage,High,Hebbal,2025-12-22
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Marathahalli,2026-02-12
vasane bartide neerinda Indiranagar.,Contamination,Low,Indiranagar,2026-01-27
Taps are leaking continuously.,Leakage,Medium,Yelahanka,2025-12-10
There is a severe water leak at the intersection in Marathahalli.,Leakage,Medium,Marathahalli,2025-12-30
Water is muddy and unhygienic.,Contamination,Medium,KR Puram,2025-12-11
Please clear the blocked drainage near Marathahalli.,Drainage,Medium,Marathahalli,2026-01-10
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Jayanagar,2026-02-05
vasane bartide neerinda HSR Layout.,Contamination,High,HSR Layout,2026-01-29
Water dripping from the street valve near Electronic City.,Leakage,Medium,Electronic City,2026-01-04
charandi block agide Yelahanka nalli.,Drainage,Medium,Yelahanka,2026-01-09
"swalpa leak agtide, just drops Rajajinagar hatra.",Leakage,Low,Rajajinagar,2026-02-11
neeralli kachara barthide.,Contamination,Medium,KR Puram,2026-02-05
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Marathahalli,2026-01-31
Water dripping from the street valve near Yelahanka.,Leakage,Medium,Yelahanka,2026-02-03
Water supply is very erratic in our area.,Supply,Medium,Indiranagar,2026-01-25
sewage mix agide neeru jote.,Contamination,Medium,Rajajinagar,2026-01-26
The public drain is choked and overflowing heavily.,Drainage,High,Indiranagar,2025-12-10
Water supply illa 1 week inda.,Supply,High,Hebbal,2026-01-19
"Water wastage due to a leak at HSR Layout, please fix immediately.",Leakage,High,HSR Layout,2026-02-25
"Marathahalli ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Marathahalli,2026-01-30
"swalpa leak agtide, just drops Yelahanka hatra.",Leakage,Low,Yelahanka,2026-01-28
Not enough water pressure to reach the overhead tank.,Supply,Low,Yelahanka,2026-02-18
water colour is black.,Contamination,High,Yelahanka,2026-01-04
water colour is black.,Contamination,High,Marathahalli,2025-12-23
neeru leak agthide Whitefield hatra.,Leakage,Medium,Whitefield,2025-12-26
Water is not safe for drinking today.,Contamination,Medium,Rajajinagar,2026-03-05
Yelahanka ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,Yelahanka,2025-12-12
Not enough water pressure to reach the overhead tank.,Supply,Low,Hebbal,2026-02-12
We have been waiting for water since morning.,Supply,Medium,KR Puram,2026-01-19
neeralli kachara barthide.,Contamination,Medium,Hebbal,2026-01-11
Drainage is blocked and overflowing in Whitefield.,Drainage,High,Whitefield,2026-02-26
Water supply is very erratic in our area.,Supply,Medium,Yelahanka,2026-01-31
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Hebbal,2026-01-21
sewage mix agide neeru jote.,Contamination,Medium,Whitefield,2026-01-03
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,Indiranagar,2026-01-09
"Water wastage due to a leak at Yelahanka, please fix immediately.",Leakage,Medium,Yelahanka,2025-12-24
Please clear the blocked drainage near KR Puram.,Drainage,Medium,KR Puram,2026-02-20
We have been waiting for water since yesterday.,Supply,Medium,Hebbal,2026-01-20
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Indiranagar,2026-01-02
The public drain is choked and overflowing heavily.,Drainage,High,KR Puram,2025-12-12
Water is leaking from the main pipe near Yelahanka.,Leakage,High,Yelahanka,2026-01-02
Sewage water entering the road.,Drainage,Medium,Marathahalli,2025-12-16
Water is not safe for drinking today.,Contamination,Medium,Rajajinagar,2026-01-24
Drinking water is contaminated in KR Puram.,Contamination,Medium,KR Puram,2026-02-06
Please clear the blocked drainage near Yelahanka.,Drainage,Medium,Yelahanka,2026-02-01
There is a severe water leak at the intersection in HSR Layout.,Leakage,Medium,HSR Layout,2026-02-02
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Whitefield,2026-02-08
There is a severe water leak at the intersection in HSR Layout.,Leakage,Medium,HSR Layout,2026-02-27
Water dripping from the street valve near Hebbal.,Leakage,Medium,Hebbal,2026-02-04
No water supply since 2 days.,Supply,High,Indiranagar,2026-01-01
Drainage is blocked and overflowing in HSR Layout.,Drainage,High,HSR Layout,2026-03-02
drinage blok in frnt of house.,Drainage,Medium,Whitefield,2025-12-05
"Marathahalli ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Marathahalli,2026-02-28
charandi block agide Whitefield nalli.,Drainage,Medium,Whitefield,2026-02-25
no suply of watr since 1 week.,Supply,High,Indiranagar,2026-01-31
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Electronic City,2026-01-18
vasane bartide neerinda KR Puram.,Contamination,Low,KR Puram,2026-01-25
neeru sari yagi supply agthilla.,Supply,High,Yelahanka,2026-03-03
Water is leaking from the main pipe near HSR Layout.,Leakage,Medium,HSR Layout,2026-01-11
Continuous water leakage in our area Yelahanka.,Leakage,Medium,Yelahanka,2025-12-31
neeru sari yagi supply agthilla.,Supply,High,HSR Layout,2026-01-26
Low water pressure today.,Supply,Low,Rajajinagar,2025-12-22
pype brst at Jayanagar.,Leakage,Medium,Jayanagar,2026-02-19
sewage mix agide neeru jote.,Contamination,Medium,Electronic City,2026-01-26
We have been waiting for water since last night.,Supply,Medium,HSR Layout,2025-12-18
Manhole is open and overflowing.,Drainage,High,Indiranagar,2025-12-12
Pipe is cracked and leaking water at Marathahalli.,Leakage,Medium,Marathahalli,2026-02-03
drain is flul of grabage.,Drainage,Medium,Marathahalli,2026-02-26
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Hebbal,2025-12-28
We have been waiting for water since 2 days.,Supply,High,Jayanagar,2025-12-19
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,KR Puram,2025-12-27
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Marathahalli,2026-01-30
"Water timing is not followed, please fix.",Supply,Low,Marathahalli,2025-12-24
charandi block agide HSR Layout nalli.,Drainage,Medium,HSR Layout,2026-01-26
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,Indiranagar,2026-01-26
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Hebbal,2026-01-02
yaavaga neeru bartade? today inda kawtidivi.,Supply,Medium,Indiranagar,2026-01-14
watr suply is vry bad in KR Puram.,Supply,Medium,KR Puram,2025-12-22
Continuous water leakage in our area Indiranagar.,Leakage,Medium,Indiranagar,2026-03-03
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Rajajinagar,2026-01-25
water colour is black.,Contamination,High,Marathahalli,2025-12-29
manhole open ide mattu overflow agthide.,Drainage,Medium,Marathahalli,2025-12-10
water pipe odedide KR Puram nalli.,Leakage,High,KR Puram,2026-01-31
charandi block agide Whitefield nalli.,Drainage,Medium,Whitefield,2025-12-31
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Yelahanka,2025-12-16
full kachara tumbide drain nalli.,Drainage,Medium,KR Puram,2026-02-24
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Jayanagar.",Leakage,Low,Jayanagar,2026-02-16
no suply of watr since 2 days.,Supply,High,Marathahalli,2026-01-02
"Water wastage due to a leak at Yelahanka, please fix immediately.",Leakage,Low,Yelahanka,2025-12-22
HSR Layout ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,HSR Layout,2025-12-09
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Whitefield,2025-12-31
Water supply is very erratic in our area.,Supply,Medium,Marathahalli,2026-01-15
Whitefield ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Whitefield,2025-12-05
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Whitefield,2026-02-20
yaavaga neeru bartade? today inda kawtidivi.,Supply,Medium,Yelahanka,2026-02-10
yaavaga neeru bartade? 2 days inda kawtidivi.,Supply,Medium,Jayanagar,2026-01-23
Water is not safe for drinking today.,Contamination,Medium,KR Puram,2026-01-11
bad smll wter cming frm tap.,Contamination,Low,Yelahanka,2025-12-28
Low water pressure today.,Supply,Low,Indiranagar,2026-02-05
drain is flul of grabage.,Drainage,Medium,Jayanagar,2026-02-03
pype brst at Electronic City.,Leakage,Medium,Electronic City,2026-02-23
watr lekng frm pip KR Puram.,Leakage,Medium,KR Puram,2025-12-06
The public drain is choked and overflowing heavily.,Drainage,High,HSR Layout,2026-01-12
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,HSR Layout,2026-02-03
Mosquitoes increasing because of drainage leak.,Drainage,High,Jayanagar,2026-01-13
"Gutter is blocked, very bad smell.",Drainage,Low,Marathahalli,2026-02-05
"kudiyoke agalla, neeru halagide.",Contamination,High,Jayanagar,2025-12-30
tumba neeru waste agthide Yelahanka nalli due to leak.,Leakage,Medium,Yelahanka,2025-12-27
Kaveri neeru bandilla.,Supply,High,Electronic City,2025-12-26
watr suply is vry bad in Marathahalli.,Supply,Medium,Marathahalli,2026-02-07
"Hebbal ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Hebbal,2026-01-20
There is a severe water leak at the intersection in Marathahalli.,Leakage,Medium,Marathahalli,2026-01-29
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Jayanagar,2025-12-28
water stagnation due to blocked drainage.,Drainage,Medium,Yelahanka,2026-02-11
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Electronic City,2026-01-23
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,KR Puram,2026-02-05
Low water pressure today.,Supply,Low,Electronic City,2026-02-19
2 days ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Marathahalli,2025-12-29
Marathahalli ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Marathahalli,2025-12-12
"kudiyoke agalla, neeru halagide.",Contamination,High,Electronic City,2026-01-20
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Hebbal.,Leakage,Medium,Hebbal,2026-02-19
Water smells bad and is yellowish.,Contamination,High,Yelahanka,2026-01-25
full kachara tumbide drain nalli.,Drainage,Medium,Jayanagar,2026-01-18
Sewage water entering the road.,Drainage,Medium,Marathahalli,2026-01-13
The water is brown and has particles in it.,Contamination,Low,Whitefield,2026-01-11
Jayanagar ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Jayanagar,2025-12-30
"main pipe break agide, neeru raste mele bartide Hebbal.",Leakage,Medium,Hebbal,2026-01-18
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,KR Puram,2026-02-05
water pipe odedide Whitefield nalli.,Leakage,High,Whitefield,2026-01-30
full kachara tumbide drain nalli.,Drainage,Medium,HSR Layout,2026-02-10
water stagnation due to blocked drainage.,Drainage,Medium,HSR Layout,2026-02-27
"Gutter is blocked, very bad smell.",Drainage,Low,Marathahalli,2026-01-16
HSR Layout ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,HSR Layout,2025-12-15
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Yelahanka.,Leakage,Medium,Yelahanka,2025-12-25
Water dripping from the street valve near Whitefield.,Leakage,Medium,Whitefield,2026-01-28
watr lekng frm pip Marathahalli.,Leakage,Medium,Marathahalli,2026-02-10
Sewage mixed with drinking water.,Contamination,High,Rajajinagar,2026-01-04
leakage problem since 2 days in Rajajinagar.,Leakage,High,Rajajinagar,2026-01-10
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Whitefield,2026-02-12
Sewage water entering the road.,Drainage,Medium,KR Puram,2026-02-19
Huge water leak at Electronic City.,Leakage,Medium,Electronic City,2026-03-04
Continuous water leakage in our area Electronic City.,Leakage,Medium,Electronic City,2025-12-13
watr suply is vry bad in Electronic City.,Supply,Medium,Electronic City,2025-12-11
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Indiranagar,2026-02-22
Continuous water leakage in our area Rajajinagar.,Leakage,Medium,Rajajinagar,2026-02-02
Sewage water entering the road.,Drainage,Medium,Electronic City,2026-02-21
vasane bartide neerinda HSR Layout.,Contamination,Low,HSR Layout,2026-03-02
HSR Layout ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,HSR Layout,2025-12-29
Water smells bad and is yellowish.,Contamination,High,Indiranagar,2026-02-07
bad smll wter cming frm tap.,Contamination,Low,Rajajinagar,2025-12-07
Water smells bad and is yellowish.,Contamination,High,KR Puram,2026-02-01
getting dirty water for drinking.,Contamination,Medium,Jayanagar,2026-02-23
"drnking watr is nt gud, it is plluted.",Contamination,Medium,KR Puram,2026-02-09
Manhole is open and overflowing.,Drainage,High,Marathahalli,2025-12-17
Rajajinagar ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Rajajinagar,2025-12-07
watr suply is vry bad in Indiranagar.,Supply,Medium,Indiranagar,2026-01-25
"main pipe break agide, neeru raste mele bartide Jayanagar.",Leakage,Medium,Jayanagar,2025-12-12
water pipe odedide Whitefield nalli.,Leakage,High,Whitefield,2026-01-25
Water supply illa 1 week inda.,Supply,High,Marathahalli,2025-12-23
vasane bartide neerinda Hebbal.,Contamination,High,Hebbal,2026-01-15
